FRR_ID,Family,Title,Primary_Keyword,Impact_Low,Impact_Moderate,Impact_High,Code_Detectable,Statement
FRR-CCM-AG-03,CCM,Senior Security Reviewer,SHOULD,No,No,Yes,No,Agencies SHOULD designate a senior information security official to review _Ongoing Authorization Reports_ and represent the agency at _Quarterly Reviews_ for _cloud service offerings_ included in agency information systems with a Security Category of High.
FRR-CCM-AG-04,CCM,Notify Provider of Concerns,SHOULD,Yes,Yes,Yes,No,"Agencies SHOULD formally notify the provider if the information presented in an _Ongoing Authorization Report_, _Quarterly Review_, or other ongoing _authorization data_ causes significant concerns that may lead the _agency_ to remove the _cloud service offering_ from operation."
FRR-CCM-AG-05,CCM,Notify FedRAMP of Concerns,MUST,Yes,Yes,Yes,No,"Agencies MUST notify FedRAMP by sending a notification to info@fedramp.gov if the information presented in an _Ongoing Authorization Report_, _Quarterly Review_, or other ongoing _authorization data_ causes significant concerns that may lead the _agency_ to stop operation of the _cloud service offering_."
FRR-CCM-AG-06,CCM,No Additional Requirements,MUST NOT,Yes,Yes,Yes,No,Agencies MUST NOT place additional security requirements on cloud service providers beyond those required by FedRAMP UNLESS the head of the agency or an authorized delegate makes a determination that there is a demonstrable need for such; this does not apply to seeking clarification or asking general questions about _authorization data_.
FRR-CCM-AG-07,CCM,Notify FedRAMP After Requests,MUST,Yes,Yes,Yes,No,Agencies MUST inform FedRAMP after requesting any additional information or materials from a cloud service provider beyond those FedRAMP requires by sending a notification to info@fedramp.gov.
FRR-CCM-QR-01,CCM,Quarterly Review Hosting,SHOULD,Yes,No,No,No,"Providers SHOULD host a synchronous _Quarterly Review_ every 3 months, open to _all necessary parties_, to review aspects of the most recent _Ongoing Authorization Reports_ that the provider determines are of the most relevance to _agencies_; providers who do not host _Quarterly Reviews_ MUST clearly state this and explain this decision in the _authorization data_ available to all _necessary parties_ required by FRR-ADS-06 and FRR-ADS-07"
FRR-CCM-QR-02,CCM,Quarterly Review,MUST,No,Yes,Yes,No,"Providers MUST host a synchronous _Quarterly Review_ every 3 months, open to _all necessary parties_, to review aspects of the most recent _Ongoing Authorization Reports_ that the provider determines are of the most relevance to _agencies_."
FRR-CCM-QR-03,CCM,Review Scheduling Window,SHOULD,Yes,Yes,Yes,No,Providers SHOULD regularly schedule _Quarterly Reviews_ to occur at least 3 business days after releasing an _Ongoing Authorization Report_ AND within 10 business days of such release.
FRR-CCM-QR-04,CCM,No Irresponsible Disclosure,MUST NOT,Yes,Yes,Yes,No,Providers MUST NOT irresponsibly disclose sensitive information in a _Quarterly Review_ that would _likely_ have an adverse effect on the _cloud service offering_.
FRR-CCM-QR-05,CCM,Meeting Registration Info,MUST,Yes,Yes,Yes,Partial,Providers MUST include either a registration link or a downloadable calendar file with meeting information for _Quarterly Reviews_ in the _authorization data_ available to all _necessary parties_ required by FRR-ADS-06 and FRR-ADS-07.
FRR-CCM-QR-06,CCM,Next Review Date,MUST,Yes,Yes,Yes,Partial,Providers MUST publicly include the target date for their next _Quarterly Review_ with the _authorization data_ required by FRR-ADS-01.
FRR-CCM-QR-07,CCM,Additional Content,SHOULD,Yes,Yes,Yes,No,"Providers SHOULD include additional information in _Quarterly Reviews_ that the provider determines is of interest, use, or otherwise relevant to _agencies_."
FRR-CCM-QR-08,CCM,Restrict Third Parties,SHOULD NOT,Yes,Yes,Yes,No,Providers SHOULD NOT invite third parties to attend _Quarterly Reviews_ intended for _agencies_ unless they have specific relevance.
FRR-CCM-QR-09,CCM,Record/Transcribe Reviews,SHOULD,Yes,Yes,Yes,Partial,Providers SHOULD record or transcribe _Quarterly Reviews_ and make such available to _all necessary parties_ with other _authorization data_ required by FRR-ADS-06 and FRR-ADS07.
FRR-CCM-QR-10,CCM,Share Recordings Responsibly,MAY,Yes,Yes,Yes,No,"Providers MAY responsibly share recordings or transcriptions of _Quarterly Reviews_ with the public or other parties ONLY if the provider removes all _agency_ information (comments, questions, names, etc.) AND determines sharing will NOT _likely_ have an adverse effect on the _cloud service offering_."
FRR-CCM-QR-11,CCM,Share Content Responsibly,MAY,Yes,Yes,Yes,No,Providers MAY responsibly share content prepared for a _Quarterly Review_ with the public or other parties if the provider determines doing so will NOT _likely_ have an adverse effect on the _cloud service offering_.
FRR-FSI-01,FSI,Verified Emails,MUST,Yes,Yes,Yes,No,"FedRAMP MUST send messages to cloud service providers using an official @fedramp.gov or @gsa.gov email address with properly configured Sender Policy Framework (SPF), DomainKeys Identified Mail (DKIM), and Domain-based Message Authentication Reporting and Conformance (DMARC) email authentication."
FRR-FSI-02,FSI,Criticality Designators,MUST,Yes,Yes,Yes,No,FedRAMP MUST convey the criticality of the message in the subject line using one of the following designators if the message requires an elevated response:
FRR-FSI-03,FSI,Sender Addresses,MUST,Yes,Yes,Yes,No,FedRAMP MUST send Emergency and Emergency Test designated messages from fedramp_security@gsa.gov OR fedramp_security@fedramp.gov.
FRR-FSI-04,FSI,Public Notice of Emergency Tests,MUST,Yes,Yes,Yes,No,FedRAMP MUST post a public notice at least 10 business days in advance of sending an Emergency Test message; such notices MUST include explanation of the _likely_ expected actions and timeframes for the Emergency Test message.
FRR-FSI-05,FSI,Required Actions,MUST,Yes,Yes,Yes,No,FedRAMP MUST clearly specify the required actions in the body of messages that require an elevated response.
FRR-FSI-06,FSI,Response Timeframes,MUST,Yes,Yes,Yes,No,FedRAMP MUST clearly specify the expected timeframe for completing required actions in the body of messages that require an elevated response; timeframes for actions will vary depending on the situation but the default timeframes to provide an estimated resolution time for Emergency and Emergency Test designated messages will be as follows:
FRR-FSI-07,FSI,Corrective Actions,MUST,Yes,Yes,Yes,No,FedRAMP MUST clearly specify the corrective actions that will result from failure to complete the required actions in the body of messages that require an elevated response; such actions may vary from negative ratings in the FedRAMP Marketplace to suspension of FedRAMP authorization depending on the severity of the event.
FRR-FSI-08,FSI,Response Metrics,MAY,Yes,Yes,Yes,No,FedRAMP MAY track and publicly share the time required by cloud service providers to take the actions specified in messages that require an elevated response.
FRR-FSI-09,FSI,FedRAMP Security Inbox,MUST,Yes,Yes,Yes,No,Providers MUST establish and maintain an email address to receive messages from FedRAMP; this inbox is a _FedRAMP Security Inbox_ (FSI).
FRR-FSI-10,FSI,Receiving Messages,MUST,Yes,Yes,Yes,No,Providers MUST treat any email originating from an @fedramp.gov or @gsa.gov email address as if it was sent from FedRAMP by default; if such a message is confirmed to originate from someone other than FedRAMP then _FedRAMP Security Inbox_ requirements no longer apply.
FRR-FSI-11,FSI,Response,MUST,Yes,Yes,Yes,No,Providers MUST receive and respond to email messages from FedRAMP without disruption and without requiring additional actions from FedRAMP.
FRR-FSI-12,FSI,Notification of Changes,MUST,Yes,Yes,Yes,No,Providers MUST immediately notify FedRAMP of any changes in addressing for their _FedRAMP Security Inbox_ by emailing info@fedramp.gov with the name and FedRAMP ID of the cloud service offering and the updated email address.
FRR-FSI-13,FSI,Acknowledgment of Receipt,MUST,Yes,Yes,Yes,No,Providers SHOULD _promptly_ and automatically acknowledge the receipt of messages received from FedRAMP in their _FedRAMP Security Inbox_.
FRR-FSI-14,FSI,Required Response for Emergency Messages,MUST,Yes,Yes,Yes,No,Providers MUST complete the required actions in Emergency or Emergency Test designated messages sent by FedRAMP within the timeframe included in the message.
FRR-FSI-15,FSI,Routing,MUST,Yes,Yes,Yes,No,Providers MUST route Emergency designated messages sent by FedRAMP to a senior security official for their awareness.
FRR-FSI-16,FSI,Recommended Response for Important Messages,SHOULD,Yes,Yes,Yes,No,Providers SHOULD complete the required actions in Important designated messages sent by FedRAMP within the timeframe specified in the message.
FRR-ICP-01,ICP,Incident Reporting to FedRAMP,MUST,Yes,Yes,Yes,No,Providers MUST responsibly report _incidents_ to FedRAMP within 1 hour of identification by sending an email to fedramp_security@fedramp.gov or fedramp_security@gsa.gov.
FRR-ICP-02,ICP,Incident Reporting to Agencies,MUST,Yes,Yes,Yes,No,Providers MUST responsibly report _incidents_ to all _agency_ customers within 1 hour of identification using the _incident_ communications points of contact provided by each _agency_ customer.
FRR-ICP-03,ICP,Incident Reporting to CISA,MUST,Yes,Yes,Yes,No,"Providers MUST responsibly report _incidents_ to CISA within 1 hour of identification if the incident is confirmed or suspected to be the result of an attack vector listed at https://www.cisa.gov/federal-incident-notification-guidelines#attack-vectors-taxonomy, following the CISA Federal Incident Notification Guidelines at https://www.cisa.gov/federal-incident-notification-guidelines, by using the CISA Incident Reporting System at https://myservices.cisa.gov/irf. "
FRR-ICP-04,ICP,Incident Updates,MUST,Yes,Yes,Yes,Partial,"Providers MUST update _all necessary parties_, including at least FedRAMP, CISA (if applicable), and all _agency_ customers, at least once per calendar day until the _incident_ is resolved and recovery is complete."
FRR-ICP-05,ICP,Incident Report Availability,MUST,Yes,Yes,Yes,No,Providers MUST make _incident_ report information available in their secure FedRAMP repository (such as USDA Connect) or _trust center_.
FRR-ICP-06,ICP,Responsible Disclosure,MUST,Yes,Yes,Yes,No,"Providers MUST NOT irresponsibly disclose specific sensitive information about _incidents_ that would _likely_ increase the impact of the _incident_, but MUST disclose sufficient information for informed risk-based decision-making to _all necessary parties_."
FRR-ICP-07,ICP,Final Incident Report,MUST,Yes,Yes,Yes,No,Providers MUST provide a final report once the _incident_ is resolved and recovery is complete that describes at least:
FRR-ICP-08,ICP,Automated Reporting,SHOULD,Yes,Yes,Yes,No,Providers SHOULD use automated mechanisms for reporting incidents and providing updates to all necessary parties (including CISA).
FRR-ICP-09,ICP,Human-Readable and Machine-Readable Formats,SHOULD,Yes,Yes,Yes,No,Providers SHOULD make _incident_ report information available in consistent human-readable and _machine-readable_ formats.
FRR-KSI-01,KSI,Application of Key Security Indicators,SHOULD,Yes,Yes,No,Partial,Cloud service providers SHOULD apply ALL Key Security Indicators to ALL aspects of their _cloud service offering_ that are within the FedRAMP Minimum Assessment Scope.
FRR-KSI-02,KSI,Implementation Summaries,MUST,Yes,Yes,No,Partial,Providers MUST maintain simple high-level summaries of at least the following for each Key Security Indicator:
FRR-MAS-01,MAS,Cloud Service Offering Identification,MUST,Yes,Yes,Yes,Partial,"Providers MUST identify a set of _information resources_ to assess for FedRAMP authorization that includes all _information resources_ that are _likely_ to _handle_ _federal customer data_ or _likely_ to impact the confidentiality, integrity, or availability of _federal customer data_ _handled_ by the _cloud service offering_."
FRR-MAS-02,MAS,Third-Party Information Resources,MUST,Yes,Yes,Yes,Partial,"Providers MUST include the configuration and usage of _third-party information resources_, ONLY IF _FRR-MAS-01_ APPLIES."
FRR-MAS-03,MAS,Non-FedRAMP Authorized Third-Party Information Resources,MUST,Yes,Yes,Yes,No,"Providers MUST clearly identify and document the justification, mitigation measures, compensating controls, and potential impact to _federal customer data_ from the configuration and usage of non-FedRAMP authorized _third-party information resources_, ONLY IF _FRR-MAS-01_ APPLIES."
FRR-MAS-04,MAS,Metadata Inclusion,MUST,Yes,Yes,Yes,No,"Providers MUST include metadata (including metadata about _federal customer data_), ONLY IF _FRR-MAS-01_ APPLIES."
FRR-MAS-05,MAS,Information Flows and Impact Levels,MUST,Yes,Yes,Yes,No,"Providers MUST clearly identify, document, and explain information flows and impact levels for ALL _information resources_, ONLY IF _FRR-MAS-01_ APPLIES."
FRR-MAS-AY-01,MAS,Scope of FedRAMP,MUST,Yes,Yes,Yes,No,"Certain categories of cloud computing products and services are specified as entirely outside the scope of FedRAMP by the Director of the Office of Management and Budget. All such products and services are therefore not included in the _cloud service offering_ for FedRAMP. For more, see https://fedramp.gov/scope."
FRR-MAS-AY-02,MAS,Non-Cloud-Based Software,MUST,Yes,Yes,Yes,No,"Software produced by cloud service providers that is delivered separately for installation on agency systems and not operated in a shared responsibility model (typically including agents, application clients, mobile applications, etc. that are not fully managed by the cloud service provider) is not a cloud computing product or service and is entirely outside the scope of FedRAMP under the FedRAMP Authorization Act. All such software is therefore not included in the _cloud service offering_ for FedRAMP. For more, see fedramp.gov/scope."
FRR-MAS-AY-03,MAS,Exclusion of Non-Impacting Information Resources,MUST,Yes,Yes,Yes,No,_Information resources_ (including _third-party information resources_) that do not meet the conditions in FRR-MAS-01 are not included in the _cloud service offering_ for FedRAMP (_FRR-MAS-02_).
FRR-MAS-AY-04,MAS,Impact Level Variations,MAY,Yes,Yes,Yes,No,_Information resources_ (including _third-party information resources_) MAY vary by impact level as appropriate to the level of information _handled_ or impacted by the information resource (_FRR-MAS-05_).
FRR-MAS-AY-05,MAS,Review of Best Practices,SHOULD,Yes,Yes,Yes,No,All parties SHOULD review best practices and technical assistance provided separately by FedRAMP for help with applying the Minimum Assessment Scope as needed.
FRR-MAS-AY-06,MAS,Cloud Service Offering Determination,MUST,Yes,Yes,Yes,No,All aspects of the _cloud service offering_ are determined and maintained by the cloud service provider in accordance with related FedRAMP authorization requirements and documented by the cloud service provider in their assessment and authorization materials.
FRR-MAS-EX-01,MAS,Supplemental Information,MAY,Yes,Yes,Yes,No,"Providers MAY include documentation of _information resources_ beyond the _cloud service offering_, or even entirely outside the scope of FedRAMP, in a FedRAMP assessment and _authorization package_ supplement; these resources will not be FedRAMP authorized and MUST be clearly marked and separated from the _cloud service offering_."
FRR-PVA-01,PVA,Persistent Validation,MUST,Yes,Yes,Yes,No,Providers MUST _persistently_ perform validation of their Key Security Indicators following the processes and cycles documented for their _cloud service offering_ per FRR-KSI-02; this process is called _persistent validation_ and is part of _vulnerability detection_.
FRR-PVA-02,PVA,Failures As Vulnerabilities,MUST,Yes,Yes,Yes,No,"Providers MUST treat failures detected during _persistent validation_ and failures of the _persistent validation_ process as _vulnerabilities_, then follow the requirements and recommendations in the FedRAMP Vulnerability Detection and Response process for such findings."
FRR-PVA-03,PVA,Report Persistent Validation,MUST,Yes,Yes,Yes,No,Providers MUST include _persistent validation_ activity in the reports on _vulnerability detection_ and _response_ activity required by the FedRAMP Vulnerability Detection and Response process.
FRR-PVA-04,PVA,Track Significant Changes,MUST,Yes,Yes,Yes,Partial,Providers MUST track _significant changes_ that impact their Key Security Indicator goals and _validation_ processes while following the requirements and recommendations in the FedRAMP Significant Change Notification process; if such _significant changes_ are not properly tracked and supplied to _all necessary assessors_ then a full _Initial FedRAMP Assessment_ may be required in place of the expected _Persistent FedRAMP Assessment_.
FRR-PVA-05,PVA,Independent Assessment,MUST,Yes,Yes,Yes,No,Providers MUST have the implementation of their goals and validation processes assessed by a FedRAMP-recognized independent assessor OR by FedRAMP directly AND MUST include the results of this assessment in their _authorization data_ without modification.
FRR-PVA-06,PVA,Complete Validation Assessment,MUST,Yes,Yes,Yes,Partial,"Providers MUST ensure a complete assessment of _validation_ procedures (including underlying code, pipelines, configurations, automation tools, etc.) for the _cloud service offering_ by _all necessary assessors_."
FRR-PVA-07,PVA,Provide Technical Evidence,SHOULD,Yes,Yes,Yes,Partial,"Providers SHOULD provide technical explanations, demonstrations, and other relevant supporting information to _all necessary assessors_ for the technical capabilities they employ to meet Key Security Indicators and to provide _validation_."
FRR-PVA-08,PVA,Receiving Assessor Advice,MAY,Yes,Yes,Yes,No,"Providers MAY ask for and accept advice from their assessor during assessment regarding techniques and procedures that will improve their security posture or the effectiveness, clarity, and accuracy of their _validation_ and reporting procedures for Key Security Indicators, UNLESS doing so might compromise the objectivity and integrity of the assessment (see also FRR-PVA-09)."
FRR-PVA-09,PVA,Assessors May Advise,MAY,Yes,Yes,Yes,No,"Assessors MAY share advice with providers they are assessing about techniques and procedures that will improve their security posture or the effectiveness, clarity, and accuracy of their _validation_ and reporting procedures for Key Security Indicators, UNLESS doing so might compromise the objectivity and integrity of the assessment (see also FRR-PVA-08)."
FRR-PVA-10,PVA,Evaluate Validation Processes,MUST,Yes,Yes,Yes,Partial,Assessors MUST evaluate the underlying processes (both _machine-based_ and non-_machine-based_) that providers use to _validate_ Key Security Indicators; this evaluation should include at least:
FRR-PVA-11,PVA,Assess Process Implementation,MUST,Yes,Yes,Yes,No,Assessors MUST evaluate the implementation of processes derived from Key Security Indicators to determine whether or not the provider has accurately documented their process and goals.
FRR-PVA-12,PVA,Assess Outcome Consistency,MUST,Yes,Yes,Yes,No,Assessors MUST evaluate whether or not the underlying processes are consistently creating the desired security outcome documented by the provider.
FRR-PVA-13,PVA,Mixed Methods Evaluation,MUST,Yes,Yes,Yes,No,Assessors MUST perform evaluation using a combination of quantitative and expert qualitative assessment as appropriate AND document which is applied to which aspect of the assessment.
FRR-PVA-14,PVA,Engage Provider Experts,SHOULD,Yes,Yes,Yes,No,"Assessors SHOULD engage provider experts in discussion to understand the decisions made by the provider and inform expert qualitative assessment, and SHOULD perform independent research to test such information as part of the expert qualitative assessment process."
FRR-PVA-15,PVA,Avoid Static Evidence,MUST NOT,Yes,Yes,Yes,Partial,"Assessors MUST NOT rely on screenshots, configuration dumps, or other static output as evidence EXCEPT when evaluating the accuracy and reliability of a process that generates such artifacts."
FRR-PVA-16,PVA,Verify Procedure Adherence,MUST,Yes,Yes,Yes,No,"Assessors MUST assess whether or not procedures are consistently followed, including the processes in place to ensure this occurs, without relying solely on the existence of a procedure document for assessing if appropriate processes and procedures are in place."
FRR-PVA-17,PVA,Deliver Assessment Summary,MUST,Yes,Yes,Yes,Partial,Assessors MUST deliver a high-level summary of their assessment process and findings for each Key Security Indicator; this summary will be included in the _authorization data_ for the _cloud service offering_.
FRR-PVA-18,PVA,No Overall Recommendation,MUST NOT,Yes,Yes,Yes,Partial,Assessors MUST NOT deliver an overall recommendation on whether or not the _cloud service offering_ meets the requirements for FedRAMP authorization.
FRR-PVA-TF-LM-02,PVA,3-Day Machine Validation,MUST,No,Yes,No,Partial,Providers MUST complete the _validation_ processes for Key Security Indicators of _machine-based_ _information resources_ at least once every 3 days.
FRR-PVA-TF-LO-01,PVA,Quarterly Non-Machine Validation,MUST,Yes,No,No,Partial,Providers MUST complete the _validation_ processes for Key Security Indicators of non-_machine-based_ _information resources_ at least once every 3 months.
FRR-PVA-TF-LO-02,PVA,Weekly Machine Validation,MUST,Yes,No,No,Partial,Providers MUST complete the _validation_ processes for Key Security Indicators of _machine-based_ _information resources_ at least once every 7 days.
FRR-PVA-TF-MO-01,PVA,Quarterly Non-Machine Validation,MUST,No,Yes,No,Partial,Providers MUST complete the _validation_ processes for Key Security Indicators of non-_machine-based_ _information resources_ at least once every 3 months.
FRR-RSC-01,RSC,Top-Level Administrative Accounts Guidance,MUST,Yes,Yes,Yes,No,"Providers MUST create and maintain guidance that includes instructions on how to securely access, configure, operate, and decommission _top-level administrative accounts_ that control enterprise access to the entire _cloud service offering_."
FRR-RSC-02,RSC,Top-Level Administrative Accounts Security Settings Guidance,MUST,Yes,Yes,Yes,No,Providers MUST create and maintain guidance that explains security-related settings that can be operated only by _top-level administrative accounts_ and their security implications.
FRR-RSC-03,RSC,Privileged Accounts Security Settings Guidance,MUST,Yes,Yes,Yes,No,Providers SHOULD create and maintain guidance that explains security-related settings that can be operated only by _privileged accounts_ and their security implications.
FRR-RSC-04,RSC,Secure Defaults on Provisioning,MUST,Yes,Yes,Yes,Partial,Providers SHOULD set all settings to their recommended secure defaults for _top-level administrative accounts_ and _privileged accounts_ when initially provisioned.
FRR-RSC-05,RSC,Comparison Capability,MUST,Yes,Yes,Yes,Partial,Providers SHOULD offer the capability to compare all current settings for _top-level administrative accounts_ and _privileged accounts_ to the recommended secure defaults.
FRR-RSC-06,RSC,Export Capability,SHOULD,Yes,Yes,Yes,No,Providers SHOULD offer the capability to export all security settings in a _machine-readable_ format.
FRR-RSC-07,RSC,API Capability,SHOULD,Yes,Yes,Yes,No,Providers SHOULD offer the capability to view and adjust security settings via an API or similar capability.
FRR-RSC-08,RSC,Machine-Readable Guidance,SHOULD,Yes,Yes,Yes,No,Providers SHOULD provide recommended secure configuration guidance in a _machine-readable_ format that can be used by customers or third-party tools to compare against current settings.
FRR-RSC-09,RSC,Publish Guidance,SHOULD,Yes,Yes,Yes,No,Providers SHOULD make recommended secure configuration guidance available publicly.
FRR-RSC-10,RSC,Versioning and Release History,SHOULD,Yes,Yes,Yes,Partial,Providers SHOULD provide versioning and a release history for recommended secure default settings for _top-level administrative accounts_ and _privileged accounts_ as they are adjusted over time.
FRR-SCN-01,SCN,Notifications,MUST,Yes,Yes,Yes,No,"Providers MUST notify all necessary parties when Significant Change Notifications are required, including at least FedRAMP and all agency customers. Providers MAY share Significant Change Notifications publicly or with other parties."
FRR-SCN-02,SCN,Procedures and Documentation,MUST,Yes,Yes,Yes,No,"Providers MUST follow the procedures documented in their security plan to plan, evaluate, test, perform, assess, and document changes."
FRR-SCN-03,SCN,Evaluate Changes,MUST,Yes,Yes,Yes,No,"Providers MUST evaluate and type label all _significant changes_, then follow FedRAMP requirements for the type."
FRR-SCN-04,SCN,N/A,MUST,Yes,Yes,Yes,Partial,Providers MUST maintain auditable records of these activities and make them available to all necessary parties.
FRR-SCN-05,SCN,N/A,MUST,Yes,Yes,Yes,No,Providers MUST keep historical Significant Change Notifications available to all necessary parties at least until the service completes its next annual assessment.
FRR-SCN-06,SCN,N/A,SHOULD,Yes,Yes,Yes,No,All parties SHOULD follow FedRAMP's best practices and technical assistance on _significant change_ assessment and notification where applicable.
